Date;Contenu_retour;Source
01/02/2023;"TER Hauts-de-France recrute 450 nouveaux collaborateurs sont recherchés sur les métiers de la conduite des trains, de la relation clients à bord et en gare ou de la maintenance des trains. https://emploi.sncf.com/filtres/localisation/40631/ 
@TERHDFusagers
 
@TERHDF
 #HautsdeFrance";Twitter @TERHDFusagers
01/02/2023;Les joies des suppressions du K11 de 7h22 au départ d'Amiens ce matin, l'étoile d'Amiens est en total abandon depuis le début janvier, statistiquement le pire mois depuis la rentrée 2021 …;Twitter @Fdhersin
01/02/2023;"Dites 
@HouenRichard
 sur Amiens PNO Amiens le mois de janvier 23 a été le pire depuis septembre 21 (hors grèves) un retard moyen de 25mn pour les K11 (trajet de 67mn) que j'emprunte. Que préparez-vous pour les mois à venir ?? 
@TERHDF
 
@FDhersin
 
@JeromeBodel
 un peu de comm serait+++";Twitter @Fdhersin
01/02/2023;"Absent de ce trajet ce matin je suis tjrs dépité de lire le peu de considération envers les usagers usés de la ligne Amiens/PNO 
@SNCFvamtuer
 
@IDR_80
 : l'affluence n'est pas créé par la foule mais par l'organisation catastrophique des aléas quotidiens __";Twitter @Fdhersin
01/02/2023;"Entre les grèves, les suppressions sauvages, les retards, les trains en sous capacité nous les cumulons 
@FDhersin
 
@SNCFvamtuer
 
@xavierbertrand";Twitter @Fdhersin
01/02/2023;Toujours et encore la même chose à la SNCF!!!!! Aucune amélioration c'est consternant !!!!;Facebook Groupe des usagers en colère des ter des hauts de France
02/02/2023;"Ce train annoncé comme en retard… est parti à l’heure. Je l’ai donc raté. 
@TERHDFusagers
 #inexactitude";Twitter @TERHDFusagers
02/02/2023;Le 17h31 est retardé de 30mn car il a aussi des PB techniques ou c'est un retard qui pourrait diminuer car la rame sort vraiment en retard ?;Twitter @TERHDFusagers
02/02/2023;Pipeau complet … la qualité de service ??? Vous savez de quoi vous parlez ??? Venez donc dans les trains, dans les gares plutôt pour sentir ce que les usagers subissent au quotidien.;Twitter @Fdhersin
02/02/2023;"Vous existez donc vraiment 
@JeromeBodel
 ? Quelle extraordinaire nouvelle !!! Vous allez donc œuvrez pour améliorer le service merdique qu’on nous chie depuis des mois maintenant !!!";Twitter @Fdhersin
02/02/2023;bonsoir rien de prévu pour la ligne Amiens pno ? Encore plus galère cette semaine __. Help . Nos jobs sont en jeu. Merci;Twitter @Fdhersin
02/02/2023;"bonjour, le K11 Paris Amiens de 17h31 est retardé de 30 minutes.__
 Cela ne s'arrange guère après les suppressions à répétition des derniers jours & semaines. __
Pourquoi  avez-vous constamment des problèmes sur ce train ? ";Twitter @Fdhersin
02/02/2023;Le 17h31 est retardé de 30mn car il a aussi des PB techniques ou c'est un retard qui pourrait diminuer car la rame sort vraiment en retard ?;Twitter @Fdhersin
02/02/2023;"Dites 
@HouenRichard
 
@JeromeBodel
 
@FDhersin
 3j consécutifs de suppression du K11 Amiens PNO de 7h22 et son pendant du soir le 18h31, êtes vous réellement convaincus que le respect du contrat entre la région et votre entreprise est rigoureux ? Vs comptez faire quoi pour améliorer ?";Twitter @Fdhersin
