insee_code;city_code;zip_code;label;latitude;longitude;department_name;department_number;region_name;region_geojson_name
62204;campagne les hesdin;62870;campagne les hesdin;50.4009257;1.867391562;pas-de-calais;62;hauts-de-france;Hauts-de-France
62127;bezinghem;62650;bezinghem;50.598512058;1.851804326;pas-de-calais;62;hauts-de-france;Hauts-de-France
59212;estaires;59940;estaires;50.65473732;2.720856636;nord;59;hauts-de-france;Hauts-de-France
62205;campagne les wardrecques;62120;campagne les wardrecques;50.713594917;2.332822457;pas-de-calais;62;hauts-de-france;Hauts-de-France
62137;blangerval blangermont;62270;blangerval blangermont;50.324985274;2.222079423;pas-de-calais;62;hauts-de-france;Hauts-de-France
59214;estrees;59151;estrees;50.297717108;3.075418436;nord;59;hauts-de-france;Hauts-de-France
62207;campigneulles les petites;62170;campigneulles les petites;50.440324676;1.736457324;pas-de-calais;62;hauts-de-france;Hauts-de-France
62141;blessy;62120;blessy;50.616675685;2.3310891270000003;pas-de-calais;62;hauts-de-france;Hauts-de-France
59219;estrun;59295;estrun;50.24430623;3.294319739;nord;59;hauts-de-france;Hauts-de-France
62215;carvin;62220;carvin;50.489405891;2.948672684;pas-de-calais;62;hauts-de-france;Hauts-de-France
62143;boffles;62390;boffles;50.256826877;2.199685853;pas-de-calais;62;hauts-de-france;Hauts-de-France
59227;fenain;59179;fenain;50.367264417;3.299999325;nord;59;hauts-de-france;Hauts-de-France
62219;caumont;62140;caumont;50.293505506;2.031561982;pas-de-calais;62;hauts-de-france;Hauts-de-France
62147;boiry ste rictrude;62175;boiry ste rictrude;50.200502655;2.74644748;pas-de-calais;62;hauts-de-france;Hauts-de-France
59229;feron;59610;feron;50.047987192;4.019385142;nord;59;hauts-de-france;Hauts-de-France
62223;cherisy;62128;cherisy;50.233667866;2.912483207;pas-de-calais;62;hauts-de-france;Hauts-de-France
62150;boisjean;62170;boisjean;50.408753645;1.781040713;pas-de-calais;62;hauts-de-france;Hauts-de-France
59240;floursies;59440;floursies;50.186539239;3.971383006;nord;59;hauts-de-france;Hauts-de-France
62224;chocques;62920;chocques;50.540824537;2.562209904;pas-de-calais;62;hauts-de-france;Hauts-de-France
62172;boyelles;62128;boyelles;50.197227377;2.820529925;pas-de-calais;62;hauts-de-france;Hauts-de-France
59254;fressain;59234;fressain;50.283243078;3.191972225;nord;59;hauts-de-france;Hauts-de-France
62227;clenleu;62650;clenleu;50.527430738;1.883879319;pas-de-calais;62;hauts-de-france;Hauts-de-France
62175;brevillers;62140;brevillers;50.347366561;2.020985339;pas-de-calais;62;hauts-de-france;Hauts-de-France
59258;genech;59242;genech;50.528642451;3.222128834;nord;59;hauts-de-france;Hauts-de-France
62237;conteville les boulogne;62126;conteville les boulogne;50.74422226;1.73042971;pas-de-calais;62;hauts-de-france;Hauts-de-France
62183;buire le sec;62870;buire le sec;50.393456577;1.823806764;pas-de-calais;62;hauts-de-france;Hauts-de-France
59260;ghyvelde;59254;ghyvelde;51.035444164;2.531240053;nord;59;hauts-de-france;Hauts-de-France
62242;couin;62760;couin;50.13287426;2.533855184;pas-de-calais;62;hauts-de-france;Hauts-de-France
62197;camblain chatelain;62470;camblain chatelain;50.477089185;2.450870491;pas-de-calais;62;hauts-de-france;Hauts-de-France
59264;gognies chaussee;59600;gognies chaussee;50.327218984;3.942098927;nord;59;hauts-de-france;Hauts-de-France
62243;coullemont;62158;coullemont;50.218788078;2.48163676;pas-de-calais;62;hauts-de-france;Hauts-de-France
62201;camiers;62176;camiers;50.564327135;1.61250273;pas-de-calais;62;hauts-de-france;Hauts-de-France
59274;la groise;59360;la groise;50.076067857;3.681031468;nord;59;hauts-de-france;Hauts-de-France
62252;la couture;62136;la couture;50.578704185;2.699133005;pas-de-calais;62;hauts-de-france;Hauts-de-France
62203;campagne les guines;62340;campagne les guines;50.841100864;1.898742776;pas-de-calais;62;hauts-de-france;Hauts-de-France
59282;hardifort;59670;hardifort;50.818592978;2.481235183;nord;59;hauts-de-france;Hauts-de-France
62253;couturelle;62158;couturelle;50.206846353;2.499420864;pas-de-calais;62;hauts-de-france;Hauts-de-France
62216;la cauchie;62158;la cauchie;50.205154661;2.5831316490000003;pas-de-calais;62;hauts-de-france;Hauts-de-France
59288;haulchin;59121;haulchin;50.313758102;3.422707584;nord;59;hauts-de-france;Hauts-de-France
62256;crepy;62310;crepy;50.472784807;2.203835758;pas-de-calais;62;hauts-de-france;Hauts-de-France
62217;cauchy a la tour;62260;cauchy a la tour;50.504892577;2.44945929;pas-de-calais;62;hauts-de-france;Hauts-de-France
59296;hecq;59530;hecq;50.180005875;3.651634;nord;59;hauts-de-france;Hauts-de-France
62261;cucq;62780;cucq;50.486377774;1.613627069;pas-de-calais;62;hauts-de-france;Hauts-de-France
62222;cheriennes;62140;cheriennes;50.31135033;2.034083912;pas-de-calais;62;hauts-de-france;Hauts-de-France
59299;hem;59510;hem;50.655181812;3.192810315;nord;59;hauts-de-france;Hauts-de-France
62261;cucq;62780;cucq;50.486377774;1.613627069;pas-de-calais;62;hauts-de-france;Hauts-de-France
62228;clerques;62890;clerques;50.794214965;1.984247791;pas-de-calais;62;hauts-de-france;Hauts-de-France
59302;herin;59195;herin;50.358274584;3.448511285;nord;59;hauts-de-france;Hauts-de-France
62265;delettes;62129;delettes;50.622457579;2.217513771;pas-de-calais;62;hauts-de-france;Hauts-de-France
62231;colline beaumont;62180;colline beaumont;50.343112495;1.674163539;pas-de-calais;62;hauts-de-france;Hauts-de-France
59305;herzeele;59470;herzeele;50.881134146;2.52966348;nord;59;hauts-de-france;Hauts-de-France
62270;divion;62460;divion;50.469810017;2.504491504;pas-de-calais;62;hauts-de-france;Hauts-de-France
62232;la comte;62150;la comte;50.426571825;2.499616353;pas-de-calais;62;hauts-de-france;Hauts-de-France
59321;inchy;59540;inchy;50.121624234;3.470685344;nord;59;hauts-de-france;Hauts-de-France
62271;dohem;62380;dohem;50.627510321;2.169145549;pas-de-calais;62;hauts-de-france;Hauts-de-France
62255;cremarest;62240;cremarest;50.700420603;1.78909078;pas-de-calais;62;hauts-de-france;Hauts-de-France
59340;leffrinckoucke;59495;leffrinckoucke;51.047882076;2.454194405;nord;59;hauts-de-france;Hauts-de-France
62274;dourges;62119;dourges;50.439415063;2.986440017;pas-de-calais;62;hauts-de-france;Hauts-de-France
62261;cucq;62780;cucq;50.486377774;1.613627069;pas-de-calais;62;hauts-de-france;Hauts-de-France
59342;lez fontaine;59740;lez fontaine;50.173520299;4.0632807;nord;59;hauts-de-france;Hauts-de-France
62277;drocourt;62320;drocourt;50.390073951;2.9332757970000003;pas-de-calais;62;hauts-de-france;Hauts-de-France
62264;dannes;62187;dannes;50.592893162;1.606300693;pas-de-calais;62;hauts-de-france;Hauts-de-France
59344;leval;59620;leval;50.18061365;3.833935023;nord;59;hauts-de-france;Hauts-de-France
62281;echinghen;62360;echinghen;50.700954314;1.654917538;pas-de-calais;62;hauts-de-france;Hauts-de-France
62279;duisans;62161;duisans;50.301461453;2.695698586;pas-de-calais;62;hauts-de-france;Hauts-de-France
59350;lille;59777;lille;50.631855028;3.046986424;nord;59;hauts-de-france;Hauts-de-France
62282;eclimeux;62770;eclimeux;50.396237179;2.180817898;pas-de-calais;62;hauts-de-france;Hauts-de-France
62280;dury;62156;dury;50.247665588;3.003639245;pas-de-calais;62;hauts-de-france;Hauts-de-France
59356;lompret;59840;lompret;50.664044815;2.995254092;nord;59;hauts-de-france;Hauts-de-France
62298;epinoy;62860;epinoy;50.231014354;3.159235581;pas-de-calais;62;hauts-de-france;Hauts-de-France
62284;ecourt st quentin;62860;ecourt st quentin;50.26038022;3.062356197;pas-de-calais;62;hauts-de-france;Hauts-de-France
59364;louvil;59830;louvil;50.556365858;3.189629123;nord;59;hauts-de-france;Hauts-de-France
62300;equihen plage;62224;equihen plage;50.678714927;1.576262162;pas-de-calais;62;hauts-de-france;Hauts-de-France
62285;ecoust st mein;62128;ecoust st mein;50.174193387;2.90189031;pas-de-calais;62;hauts-de-france;Hauts-de-France
59365;louvroil;59720;louvroil;50.258397604;3.954218631;nord;59;hauts-de-france;Hauts-de-France
